Escaped,16,0,16,1765757588960
Caught,8,0,8,1765758383382
Caught,8,0,8,1765758429334
Escaped,16,0,16,1765757588960
Caught,8,0,8,1765758383382
Caught,8,0,8,1765758429334
Escaped,16,0,16,1765757588960
Caught,8,0,8,1765758383382
Caught,8,0,8,1765758429334
Escaped,16,0,16,1765757588960
Caught,8,0,8,1765758383382
Caught,8,0,8,1765758429334
Escaped,16,0,16,1765757588960
Caught,8,0,8,1765758383382
Caught,8,0,8,1765758429334
Escaped,16,0,16,1765757588960
Caught,8,0,8,1765758383382
Caught,8,0,8,1765758429334
Escaped,16,0,16,1765757588960Caught,7,0,7,1765761056246
Caught,5,0,5,1765762560046
Escaped,16,3,31,1765762578251
Escaped,16,2,26,1765762774102
Caught,9,0,9,1765763093295
Caught,20,8,60,1765770113447
Escaped,16,0,16,1765771267202
Caught,10,0,10,1765771603437
Escaped,10,2,20,1765771882056
Caught,3,1,8,1765771888753
Caught,4,2,14,1765771893855
Caught,5,1,10,1765771963022
Escaped,9,0,9,1765771991449
Caught,3,1,8,1765775643683
Caught,7,1,12,1765776352355
Caught,4,2,14,1765776360466
